Student ID,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location
19,Female,2024,"Cloud (AWS/Azure/GCP), C++, Data Science",0,3,4,Wipro,Established,Automotive,1573183,No,Not Applicable,Pune
20,Female,2024,"Blockchain, Cybersecurity, Web Dev (Full Stack)",1,9,3,Dream11,Startup,EdTech,712675,No,Not Applicable,Mumbai
21,Male,2023,"C++, Embedded Systems, Cybersecurity, DevOps, Digital Marketing",1,9,4,Zomato,Startup,Consulting,318410,No,Not Applicable,Delhi
22,Female,2024,"Web Dev (Full Stack), Embedded Systems, Digital Marketing",2,10,4,Flipkart,Established,EdTech,1113669,No,Not Applicable,Delhi
23,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing",0,6,3,Capgemini,Established,IT Services,1804258,No,Not Applicable,Chennai
24,Female,2025,Digital Marketing,2,10,4,Oracle,Established,FinTech,1291302,No,Not Applicable,Delhi
25,Female,2023,"ML/AI, Embedded Systems, Java, C++",1,8,2,Swiggy,Startup,Healthcare,938140,No,Not Applicable,Ahmedabad
26,Female,2023,"Cybersecurity, Digital Marketing, DevOps",0,8,3,Amazon,Established,Logistics,1777624,No,Not Applicable,Kolkata
27,Female,2025,"ML/AI, Web Dev (Full Stack), Cybersecurity",0,10,3,Adobe,Established,Manufacturing,582865,No,Not Applicable,Ahmedabad
28,Female,2023,"C++, ML/AI, Digital Marketing",2,6,1,Oracle,Established,E-commerce,725110,No,Not Applicable,Jaipur
29,Male,2025,"ML/AI, Cloud (AWS/Azure/GCP), Python, Java, Cybersecurity",0,3,3,Byju's,Startup,Automotive,438293,No,Not Applicable,Pune
30,Male,2024,"Cloud (AWS/Azure/GCP), UI/UX Design, Cybersecurity",0,10,2,Adobe,Established,Logistics,1380584,Yes,Data Science,Hyderabad
31,Male,2024,"Embedded Systems, Python, DevOps, Blockchain",2,4,4,Microsoft,Established,E-commerce,1440111,No,Not Applicable,Bangalore
32,Male,2024,"Web Dev (Full Stack), Cybersecurity",1,8,4,Tata Motors,Established,Logistics,2968438,Yes,MBA,Pune
33,Male,2022,"ML/AI, Java, Embedded Systems, Networking",1,9,2,Wipro,Established,IT Services,1608393,No,Not Applicable,Mumbai
34,Male,2024,"Data Science, Cloud (AWS/Azure/GCP)",2,5,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Chennai
35,Female,2023,"Digital Marketing, Java, Data Science, Embedded Systems, Blockchain",0,9,1,Meta,Established,Manufacturing,724112,No,Not Applicable,Ahmedabad
36,Female,2023,Blockchain,0,2,2,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Mumbai
37,Female,2024,"UI/UX Design, Python",0,6,1,Infosys,Established,Healthcare,1279537,No,Not Applicable,Chennai
38,Female,2025,"Java, Networking, Web Dev (Full Stack), UI/UX Design, C++",1,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Kolkata
39,Female,2025,"Embedded Systems, DevOps, Cloud (AWS/Azure/GCP), Digital Marketing",2,8,4,Wipro,Established,Consulting,367971,No,Not Applicable,Jaipur
40,Male,2023,Embedded Systems,2,2,2,Capgemini,Established,Healthcare,759906,No,Not Applicable,Jaipur
41,Female,2024,"Data Science, Cloud (AWS/Azure/GCP)",1,1,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Hyderabad
42,Female,2024,"UI/UX Design, Web Dev (Full Stack), ML/AI, Data Science",1,8,3,Paytm,Startup,EdTech,755034,No,Not Applicable,Pune
43,Female,2024,"C++, Java, Digital Marketing",0,5,4,Microsoft,Established,Healthcare,2004734,No,Not Applicable,Bangalore
44,Male,2023,"DevOps, Java, Networking",0,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Delhi
45,Female,2025,"C++, Python",1,7,2,Google,Established,Healthcare,572787,No,Not Applicable,Delhi
46,Male,2025,"Embedded Systems, Java",2,1,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Delhi
47,Female,2025,"Embedded Systems, Digital Marketing, Networking, UI/UX Design",2,3,3,Tech Mahindra,Established,FinTech,1150457,No,Not Applicable,Pune
48,Female,2022,"Blockchain, Data Science, ML/AI",0,6,1,Byju's,Startup,Logistics,751335,No,Not Applicable,Bangalore
49,Female,2023,"Digital Marketing, DevOps, C++",1,10,3,Cisco,Established,Logistics,2590086,No,Not Applicable,Hyderabad
50,Male,2023,"ML/AI, Web Dev (Full Stack)",2,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Chennai
51,Female,2023,"Web Dev (Full Stack), Networking, Data Science",0,10,4,Infosys,Established,IT Services,2620542,Yes,MBA,Pune
52,Male,2023,"Java, Cybersecurity, Web Dev (Full Stack)",1,4,3,TCS,Established,Consulting,624923,No,Not Applicable,Pune
53,Male,2023,"Cloud (AWS/Azure/GCP), Blockchain, Cybersecurity, Python",2,9,1,Jio Platforms,Established,Logistics,752821,No,Not Applicable,Ahmedabad
54,Female,2024,"DevOps, Digital Marketing, Cloud (AWS/Azure/GCP)",0,1,0,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Jaipur
55,Male,2022,"Python, C++, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Hyderabad
56,Male,2025,"Digital Marketing, Networking, Python, ML/AI, Cybersecurity",1,9,2,Paytm,Startup,Logistics,523897,No,Not Applicable,Delhi
57,Female,2023,"Embedded Systems, DevOps, Data Science",2,6,3,Dream11,Startup,IT Services,437509,No,Not Applicable,Jaipur
58,Female,2025,"Cybersecurity, Java",0,7,4,Tata Motors,Established,Consulting,1957231,No,Not Applicable,Kolkata
59,Female,2023,"ML/AI, Cloud (AWS/Azure/GCP), Cybersecurity",3,5,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Kolkata
60,Male,2025,"Data Science, DevOps",1,5,3,Flipkart,Established,E-commerce,1041866,No,Not Applicable,Chennai
61,Female,2024,"Cloud (AWS/Azure/GCP), Java",0,6,1,Tata Motors,Established,E-commerce,806734,No,Not Applicable,Kolkata
62,Male,2023,"Cloud (AWS/Azure/GCP), Cybersecurity, Java, UI/UX Design",3,8,4,Flipkart,Established,EdTech,1213067,Yes,AI/ML,Bangalore
63,Male,2022,"Embedded Systems, DevOps",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai
64,Female,2022,"DevOps, Digital Marketing, Cybersecurity",2,8,1,Amazon,Established,Logistics,1489439,Yes,AI/ML,Kolkata
65,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing, UI/UX Design, ML/AI",2,3,4,Microsoft,Established,E-commerce,1476901,No,Not Applicable,Bangalore
66,Male,2023,"Networking, Blockchain, Cloud (AWS/Azure/GCP)",2,7,2,Cognizant,Established,Consulting,2216160,No,Not Applicable,Jaipur
67,Female,2024,"Cloud (AWS/Azure/GCP), Networking",1,7,1,Oracle,Established,Healthcare,2192661,Yes,Data Science,Bangalore
68,Female,2025,"Python, C++, Networking, Cybersecurity, Cloud (AWS/Azure/GCP)",2,6,2,Google,Established,FinTech,2668846,No,Not Applicable,Bangalore
69,Male,2025,"DevOps, Python, Embedded Systems",2,7,2,Amazon,Established,Manufacturing,1356839,No,Not Applicable,Pune
70,Male,2022,"Embedded Systems, Cybersecurity, Cloud (AWS/Azure/GCP), ML/AI",2,5,3,Cognizant,Established,Automotive,1306807,No,Not Applicable,Ahmedabad
71,Male,2022,C++,2,10,4,Google,Established,Logistics,497689,No,Not Applicable,Chennai
72,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, Cybersecurity",0,5,1,Tech Mahindra,Established,FinTech,1780913,No,Not Applicable,Kolkata
73,Female,2024,"Java, Data Science",1,2,3,Swiggy,Startup,Automotive,1207104,No,Not Applicable,Delhi
74,Female,2023,"Cybersecurity, ML/AI",0,10,4,Wipro,Established,Consulting,843114,No,Not Applicable,Pune
75,Female,2025,"Data Science, Cloud (AWS/Azure/GCP), Java, Embedded Systems",2,8,2,L&T Technology Services,Established,FinTech,1318890,No,Not Applicable,Pune
76,Male,2022,"Java, Python",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Delhi
77,Male,2025,"C++, DevOps, Blockchain",0,4,2,Tata Motors,Established,Consulting,789769,No,Not Applicable,Mumbai
78,Male,2023,"ML/AI, DevOps, Cybersecurity, Networking",0,2,3,Tata Motors,Established,EdTech,2249068,No,Not Applicable,Jaipur
79,Male,2024,"Networking, Blockchain, Digital Marketing",1,6,3,Jio Platforms,Established,EdTech,1678422,No,Not Applicable,Delhi
80,Male,2022,"Networking, Cloud (AWS/Azure/GCP)",2,7,1,Capgemini,Established,EdTech,1626921,No,Not Applicable,Chennai
81,Female,2024,"UI/UX Design, Cloud (AWS/Azure/GCP), Python",0,5,1,Zomato,Startup,Manufacturing,1265483,No,Not Applicable,Ahmedabad
82,Male,2025,"Networking, Embedded Systems, Web Dev (Full Stack), UI/UX Design",3,6,2,Cisco,Established,FinTech,1573452,No,Not Applicable,Hyderabad
83,Male,2022,"Data Science, Digital Marketing, Blockchain, UI/UX Design, Java",2,2,4,Oracle,Established,E-commerce,1820327,Yes,PhD,Hyderabad
84,Female,2022,"Java, DevOps, UI/UX Design, Embedded Systems",2,7,4,Cognizant,Established,Healthcare,659348,No,Not Applicable,Kolkata
85,Female,2022,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), C++",0,6,3,HCLTech,Established,IT Services,1343129,No,Not Applicable,Bangalore
86,Female,2023,DevOps,1,8,3,Swiggy,Startup,FinTech,603702,No,Not Applicable,Bangalore
87,Female,2022,"Web Dev (Full Stack), Digital Marketing, C++, Cloud (AWS/Azure/GCP)",2,6,3,HCLTech,Established,E-commerce,2188555,Yes,MS (USA/EU),Jaipur
88,Male,2023,"Networking, DevOps",1,8,4,Infosys,Established,Healthcare,1881013,Yes,Cybersecurity,Kolkata
89,Female,2024,"DevOps, Embedded Systems, Data Science, Python",0,9,2,Cisco,Established,Consulting,1974476,No,Not Applicable,Mumbai
90,Female,2024,"Web Dev (Full Stack), DevOps",2,4,1,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai
91,Female,2022,"Web Dev (Full Stack), Python",1,7,4,L&T Technology Services,Established,Manufacturing,516985,No,Not Applicable,Mumbai
92,Female,2022,"Digital Marketing, Java, UI/UX Design, ML/AI, Embedded Systems",0,5,0,Capgemini,Established,Automotive,1295503,No,Not Applicable,Kolkata
93,Male,2022,"DevOps, UI/UX Design",0,7,4,Oracle,Established,EdTech,1686143,No,Not Applicable,Kolkata
94,Male,2022,"UI/UX Design, Embedded Systems, Data Science",1,5,3,Tata Motors,Established,Consulting,950700,No,Not Applicable,Delhi
95,Female,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",1,9,4,Wipro,Established,Automotive,817154,No,Not Applicable,Hyderabad
96,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, UI/UX Design",0,10,4,Amazon,Established,Logistics,1218837,No,Not Applicable,Kolkata
97,Male,2024,"Java, Web Dev (Full Stack)",2,8,1,Tech Mahindra,Established,Manufacturing,1219839,No,Not Applicable,Delhi
98,Male,2023,"C++, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",0,3,1,HCLTech,Established,FinTech,1798269,No,Not Applicable,Chennai
99,Female,2024,"Digital Marketing, UI/UX Design",0,8,3,Dream11,Startup,E-commerce,827804,No,Not Applicable,Ahmedabad
100,Female,2025,"UI/UX Design, Networking, Cybersecurity",2,2,0,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Hyderabad
101,Male,2023,"UI/UX Design, Blockchain, Python, Data Science",0,3,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad
102,Female,2022,"Digital Marketing, C++",0,7,4,Tata Motors,Established,Automotive,929377,No,Not Applicable,Hyderabad
103,Male,2025,Digital Marketing,2,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Jaipur
104,Male,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Embedded Systems",0,7,4,Capgemini,Established,FinTech,1168262,No,Not Applicable,Jaipur
105,Male,2024,"Blockchain, Networking, Cloud (AWS/Azure/GCP), Java",1,4,2,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Mumbai
106,Female,2024,"UI/UX Design, Python, Data Science, Cybersecurity",2,4,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad
107,Female,2023,"Java, DevOps, Embedded Systems, UI/UX Design, Web Dev (Full Stack)",1,9,4,Capgemini,Established,IT Services,1217891,No,Not Applicable,Mumbai
108,Male,2025,"Blockchain, Data Science, Cybersecurity, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",2,9,4,Google,Established,Logistics,1618082,No,Not Applicable,Chennai
109,Female,2022,"Cloud (AWS/Azure/GCP), Networking",2,10,3,Tata Motors,Established,EdTech,1304859,No,Not Applicable,Mumbai
110,Female,2025,"Digital Marketing, C++, ML/AI, UI/UX Design",2,5,3,HCLTech,Established,Logistics,2836184,No,Not Applicable,Pune
111,Female,2024,"Web Dev (Full Stack), C++, Cybersecurity, Java",1,4,4,TCS,Established,Logistics,1764920,No,Not Applicable,Bangalore
112,Female,2023,"UI/UX Design, DevOps",1,10,4,Infosys,Established,Manufacturing,1812239,No,Not Applicable,Jaipur
113,Male,2024,"DevOps, Data Science, Digital Marketing",1,6,1,Wipro,Established,Automotive,1304658,No,Not Applicable,Chennai
114,Male,2024,Embedded Systems,0,7,2,Adobe,Established,Automotive,1502053,No,Not Applicable,Ahmedabad
115,Female,2022,"Cybersecurity, ML/AI, Python",0,6,2,Meta,Established,FinTech,1572380,No,Not Applicable,Jaipur
116,Male,2023,"Python, ML/AI, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Kolkata
117,Female,2022,"Data Science, Digital Marketing, DevOps",0,4,1,Adobe,Established,Logistics,1989318,No,Not Applicable,Hyderabad
118,Male,2025,"Digital Marketing, Embedded Systems, DevOps",2,8,4,Ola,Startup,Logistics,750216,Yes,AI/ML,Bangalore
119,Male,2022,"C++, Python, DevOps, Cybersecurity",1,5,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Ahmedabad
120,Female,2023,"ML/AI, C++",0,6,3,Dream11,Startup,Healthcare,354005,No,Not Applicable,Bangalore
121,Female,2025,"Digital Marketing, Java, Data Science",0,5,2,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Chennai
122,Female,2023,"DevOps, Web Dev (Full Stack)",2,10,3,HCLTech,Established,Manufacturing,603758,No,Not Applicable,Delhi
123,Female,2024,"Cloud (AWS/Azure/GCP), Digital Marketing",3,10,4,Swiggy,Startup,E-commerce,757466,No,Not Applicable,Bangalore
124,Female,2025,"Embedded Systems, Cloud (AWS/Azure/GCP)",0,7,4,Jio Platforms,Established,Manufacturing,1419144,No,Not Applicable,Jaipur
125,Female,2024,"ML/AI, C++",0,8,4,Cisco,Established,FinTech,1844263,No,Not Applicable,Pune
126,Female,2024,ML/AI,2,5,4,Ola,Startup,Consulting,791896,No,Not Applicable,Pune
127,Male,2022,"Blockchain, ML/AI, Networking, DevOps",1,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Chennai
128,Female,2025,Web Dev (Full Stack),0,9,2,Capgemini,Established,E-commerce,1542123,No,Not Applicable,Bangalore
129,Male,2023,"C++, Embedded Systems, Blockchain",1,5,1,Paytm,Startup,Manufacturing,1013689,No,Not Applicable,Ahmedabad
130,Male,2023,"Networking, Data Science, UI/UX Design, Embedded Systems, DevOps",1,3,4,Tech Mahindra,Established,FinTech,1111540,No,Not Applicable,Bangalore
131,Male,2024,"Data Science, UI/UX Design, Blockchain, Python, Web Dev (Full Stack)",2,9,3,Dr. Reddy's Labs,Established,Automotive,1771080,No,Not Applicable,Chennai
132,Male,2024,DevOps,1,1,1,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Ahmedabad
133,Female,2025,"Java, Cybersecurity, Digital Marketing, DevOps, C++",0,8,3,HCLTech,Established,Consulting,2094490,No,Not Applicable,Jaipur
134,Female,2025,C++,1,3,0,TCS,Established,Manufacturing,1646303,No,Not Applicable,Pune
135,Female,2025,"Data Science, Cybersecurity",0,8,3,Tata Motors,Established,Healthcare,385264,No,Not Applicable,Bangalore
136,Female,2024,"ML/AI, Cybersecurity, Java, Blockchain, DevOps",1,3,2,Dream11,Startup,Healthcare,983738,No,Not Applicable,Ahmedabad
137,Male,2024,"Cloud (AWS/Azure/GCP), DevOps",0,8,4,Oracle,Established,Consulting,865883,No,Not Applicable,Ahmedabad
138,Female,2022,"Digital Marketing, Cloud (AWS/Azure/GCP), Data Science, UI/UX Design, C++",0,2,3,Adobe,Established,IT Services,1910241,No,Not Applicable,Mumbai
139,Female,2025,"C++, Networking, Web Dev (Full Stack)",1,8,3,Dr. Reddy's Labs,Established,FinTech,1383486,No,Not Applicable,Pune
140,Male,2024,"Java, UI/UX Design",0,5,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Chennai
141,Female,2022,UI/UX Design,2,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Chennai
142,Female,2025,"Data Science, ML/AI, Blockchain, Digital Marketing",0,4,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Mumbai
143,Female,2025,"Networking, Digital Marketing",1,6,3,Tech Mahindra,Established,Consulting,753342,No,Not Applicable,Hyderabad
144,Female,2022,Blockchain,1,5,2,Flipkart,Established,Automotive,1643075,No,Not Applicable,Jaipur
145,Female,2024,"Python, Cybersecurity, Web Dev (Full Stack)",1,6,3,Swiggy,Startup,Healthcare,933272,No,Not Applicable,Bangalore
146,Female,2024,"Networking, Cybersecurity, ML/AI, Python, C++",3,5,3,Amazon,Established,Consulting,2290068,No,Not Applicable,Jaipur
147,Male,2025,"Cloud (AWS/Azure/GCP), Networking, C++",1,6,3,Tata Motors,Established,EdTech,1729008,No,Not Applicable,Chennai
148,Male,2023,"Digital Marketing, Blockchain, Cloud (AWS/Azure/GCP), C++",2,7,2,Dr. Reddy's Labs,Established,Healthcare,1294688,Yes,AI/ML,Kolkata
149,Male,2022,"Data Science, Java, Blockchain, Embedded Systems, ML/AI",1,10,4,Dream11,Startup,Consulting,767778,No,Not Applicable,Mumbai
150,Female,2024,"Embedded Systems, DevOps, Cybersecurity, Blockchain, Cloud (AWS/Azure/GCP)",3,2,0,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Kolkata
151,Male,2022,"Python, Cybersecurity, Blockchain",2,1,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Pune
152,Female,2024,"Java, Cloud (AWS/Azure/GCP)",0,9,2,Flipkart,Established,E-commerce,1317349,No,Not Applicable,Delhi
153,Male,2022,"DevOps, Networking, Java, Cybersecurity",0,8,3,Dr. Reddy's Labs,Established,Manufacturing,1920845,No,Not Applicable,Bangalore
154,Male,2023,"Cloud (AWS/Azure/GCP), Python, Embedded Systems",1,5,3,Jio Platforms,Established,EdTech,1672513,No,Not Applicable,Hyderabad
155,Female,2024,"Java, Cybersecurity, Blockchain",0,4,3,Cisco,Established,EdTech,1603307,No,Not Applicable,Kolkata
156,Male,2022,"C++, Web Dev (Full Stack)",2,6,3,Dream11,Startup,Automotive,1292948,Yes,M.Tech,Jaipur
157,Male,2025,"Embedded Systems, C++, Networking, Cybersecurity",1,4,3,Dream11,Startup,IT Services,1088363,No,Not Applicable,Ahmedabad
158,Male,2024,"Blockchain, Java, UI/UX Design",0,8,3,Flipkart,Established,Healthcare,961964,No,Not Applicable,Jaipur
159,Male,2025,"UI/UX Design, ML/AI, Cybersecurity",0,4,4,Flipkart,Established,E-commerce,431146,No,Not Applicable,Kolkata
160,Male,2023,"Python, Cloud (AWS/Azure/GCP), Blockchain, Java, DevOps",0,6,3,Oracle,Established,E-commerce,1799131,No,Not Applicable,Hyderabad
161,Female,2025,"Blockchain, C++",1,5,3,Meta,Established,Manufacturing,2065125,No,Not Applicable,Ahmedabad
162,Female,2022,"DevOps, ML/AI, UI/UX Design",0,8,4,HCLTech,Established,Manufacturing,1116488,No,Not Applicable,Chennai
163,Female,2023,"Networking, Data Science, DevOps, Cloud (AWS/Azure/GCP)",1,5,3,Flipkart,Established,E-commerce,1278065,No,Not Applicable,Chennai
164,Male,2023,"ML/AI, Data Science, Python",2,5,2,Amazon,Established,IT Services,1694873,No,Not Applicable,Hyderabad
165,Female,2022,Networking,3,10,3,Dr. Reddy's Labs,Established,Logistics,1295550,No,Not Applicable,Kolkata
166,Male,2023,"UI/UX Design, Java",1,5,4,Cognizant,Established,Logistics,2015372,No,Not Applicable,Pune
167,Female,2024,"Python, Blockchain, Cybersecurity, Web Dev (Full Stack), Java",2,9,1,Dr. Reddy's Labs,Established,FinTech,1258252,No,Not Applicable,Jaipur
168,Male,2024,"Web Dev (Full Stack), Cloud (AWS/Azure/GCP), Embedded Systems, Data Science",0,5,4,Amazon,Established,E-commerce,2145561,No,Not Applicable,Bangalore
169,Female,2023,"Networking, DevOps",2,8,4,Cisco,Established,Consulting,2010862,No,Not Applicable,Delhi
170,Male,2022,"Java, Digital Marketing, Blockchain",3,5,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Bangalore
171,Female,2025,"UI/UX Design, ML/AI",1,6,2,TCS,Established,Logistics,1546163,No,Not Applicable,Pune
172,Male,2022,"Cybersecurity, C++, Data Science, Networking",3,6,3,Google,Established,Manufacturing,1386325,No,Not Applicable,Kolkata
173,Male,2023,"Data Science, Blockchain",1,4,1,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Kolkata
174,Female,2023,"Java, Cloud (AWS/Azure/GCP)",0,3,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Hyderabad
175,Female,2025,Cloud (AWS/Azure/GCP),0,6,2,Google,Established,Manufacturing,2383970,No,Not Applicable,Mumbai
176,Male,2023,"Cybersecurity, Blockchain, DevOps, Java",3,1,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Bangalore
177,Male,2022,"Embedded Systems, Java, Cybersecurity, Networking, DevOps",2,7,4,Microsoft,Established,E-commerce,2585513,No,Not Applicable,Kolkata
178,Female,2022,"Data Science, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",1,4,2,Ola,Startup,FinTech,326388,No,Not Applicable,Bangalore
179,Female,2024,"UI/UX Design, Data Science, Cybersecurity",2,10,3,L&T Technology Services,Established,E-commerce,1289374,Yes,Data Science,Mumbai
180,Male,2025,Cybersecurity,0,6,1,TCS,Established,Logistics,851676,Yes,PhD,Bangalore
181,Female,2025,"Networking, Blockchain, Web Dev (Full Stack)",1,7,3,HCLTech,Established,Automotive,1776004,No,Not Applicable,Hyderabad
182,Male,2023,"Data Science, Cloud (AWS/Azure/GCP), Java",0,4,0,Not Placed,Not Placed,Not Placed,0,Yes,MBA,Pune
183,Male,2025,"Blockchain, Digital Marketing, Embedded Systems, DevOps",0,10,0,Google,Established,EdTech,1436170,Yes,PhD,Delhi
184,Female,2025,"Java, Blockchain, Embedded Systems, ML/AI",0,6,0,Swiggy,Startup,IT Services,702524,No,Not Applicable,Chennai
185,Female,2024,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), UI/UX Design, Java",0,2,2,Microsoft,Established,FinTech,1715418,No,Not Applicable,Delhi
186,Male,2022,"DevOps, Digital Marketing, C++",0,2,1,Meta,Established,FinTech,1542550,Yes,Data Science,Bangalore
187,Female,2023,"Digital Marketing, Data Science, Cybersecurity, Blockchain",3,5,2,Ola,Startup,Manufacturing,423806,No,Not Applicable,Bangalore
188,Male,2024,"Python, Web Dev (Full Stack), Networking",0,6,3,Oracle,Established,Automotive,2082639,No,Not Applicable,Mumbai
189,Female,2023,"Blockchain, Cybersecurity, Digital Marketing, UI/UX Design",2,5,3,Tata Motors,Established,Logistics,1434510,No,Not Applicable,Chennai
190,Female,2023,"Networking, DevOps, ML/AI",2,6,2,Ola,Startup,EdTech,675118,No,Not Applicable,Ahmedabad
191,Female,2024,"Data Science, Python, Cybersecurity, DevOps, UI/UX Design",0,4,4,Dream11,Startup,Logistics,536194,No,Not Applicable,Chennai
192,Male,2025,"Java, Digital Marketing, C++",0,6,1,HCLTech,Established,E-commerce,1513707,Yes,Data Science,Bangalore
193,Female,2025,"Cybersecurity, Data Science",2,6,3,Zomato,Startup,Logistics,354084,No,Not Applicable,Chennai
194,Female,2024,"Blockchain, Cloud (AWS/Azure/GCP), Cybersecurity",0,5,4,Adobe,Established,E-commerce,1863179,No,Not Applicable,Bangalore
195,Male,2025,"C++, Python, Blockchain, DevOps",3,10,4,TCS,Established,Healthcare,2772832,No,Not Applicable,Pune
196,Female,2022,"C++, DevOps, Data Science, Web Dev (Full Stack)",1,3,2,Wipro,Established,Consulting,1845554,No,Not Applicable,Hyderabad
197,Male,2023,"Blockchain, Cloud (AWS/Azure/GCP), Python",2,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Hyderabad
198,Male,2024,"DevOps, C++, Cloud (AWS/Azure/GCP)",3,7,1,Dr. Reddy's Labs,Established,FinTech,1965314,No,Not Applicable,Kolkata
