Student ID,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location,Experience_Level,Academic_Risk,Skill_Count,Placement_Readiness,Job_Score,Higher_Studies_Score,Skill_Improvement_Score,Wait_Improve_Score,Recommended_Options
111,Female,2024,"Web Dev (Full Stack), C++, Cybersecurity, Java",1,4,4,TCS,Established,Logistics,1764920,No,Not Applicable,Bangalore,Medium,Low,4,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
112,Female,2023,"UI/UX Design, DevOps",1,10,4,Infosys,Established,Manufacturing,1812239,No,Not Applicable,Jaipur,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
113,Male,2024,"DevOps, Data Science, Digital Marketing",1,6,1,Wipro,Established,Automotive,1304658,No,Not Applicable,Chennai,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
114,Male,2024,Embedded Systems,0,7,2,Adobe,Established,Automotive,1502053,No,Not Applicable,Ahmedabad,High,Low,1,Low,2,2,2,2,"['Immediate Job', 'Higher Studies']"
115,Female,2022,"Cybersecurity, ML/AI, Python",0,6,2,Meta,Established,FinTech,1572380,No,Not Applicable,Jaipur,High,Low,3,High,4,2,1,0,"['Immediate Job', 'Higher Studies']"
116,Male,2023,"Python, ML/AI, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Kolkata,Medium,Low,3,Medium,2,4,3,0,"['Higher Studies', 'Skill Improvement']"
117,Female,2022,"Data Science, Digital Marketing, DevOps",0,4,1,Adobe,Established,Logistics,1989318,No,Not Applicable,Hyderabad,Medium,Low,3,Medium,2,2,3,0,"['Skill Improvement', 'Immediate Job']"
118,Male,2025,"Digital Marketing, Embedded Systems, DevOps",2,8,4,Ola,Startup,Logistics,750216,Yes,AI/ML,Bangalore,High,Medium,3,Medium,2,3,3,0,"['Higher Studies', 'Skill Improvement']"
119,Male,2022,"C++, Python, DevOps, Cybersecurity",1,5,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Ahmedabad,High,Low,4,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
120,Female,2023,"ML/AI, C++",0,6,3,Dream11,Startup,Healthcare,354005,No,Not Applicable,Bangalore,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
121,Female,2025,"Digital Marketing, Java, Data Science",0,5,2,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Chennai,High,Low,3,High,4,4,1,0,"['Immediate Job', 'Higher Studies']"
122,Female,2023,"DevOps, Web Dev (Full Stack)",2,10,3,HCLTech,Established,Manufacturing,603758,No,Not Applicable,Delhi,High,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
123,Female,2024,"Cloud (AWS/Azure/GCP), Digital Marketing",3,10,4,Swiggy,Startup,E-commerce,757466,No,Not Applicable,Bangalore,High,Medium,2,Medium,2,1,4,0,"['Skill Improvement', 'Immediate Job']"
124,Female,2025,"Embedded Systems, Cloud (AWS/Azure/GCP)",0,7,4,Jio Platforms,Established,Manufacturing,1419144,No,Not Applicable,Jaipur,High,Low,2,Medium,2,2,4,0,"['Skill Improvement', 'Immediate Job']"
