Student ID,Gender,Year,Skills,Backlogs,Projects Completed,Internships,Companies Placed,Company Type,Domain,Salary,Higher Studies,Higher Studies Field,Location,Experience_Level,Academic_Risk,Skill_Count,Placement_Readiness
40,Male,2023,Embedded Systems,2,2,2,Capgemini,Established,Healthcare,759906,No,Not Applicable,Jaipur,Medium,Medium,1,Low
41,Female,2024,"Data Science, Cloud (AWS/Azure/GCP)",1,1,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Hyderabad,Medium,Low,2,Medium
42,Female,2024,"UI/UX Design, Web Dev (Full Stack), ML/AI, Data Science",1,8,3,Paytm,Startup,EdTech,755034,No,Not Applicable,Pune,High,Low,4,High
43,Female,2024,"C++, Java, Digital Marketing",0,5,4,Microsoft,Established,Healthcare,2004734,No,Not Applicable,Bangalore,High,Low,3,High
44,Male,2023,"DevOps, Java, Networking",0,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Delhi,Low,Low,3,Medium
45,Female,2025,"C++, Python",1,7,2,Google,Established,Healthcare,572787,No,Not Applicable,Delhi,High,Low,2,Medium
46,Male,2025,"Embedded Systems, Java",2,1,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Delhi,Medium,Medium,2,Medium
47,Female,2025,"Embedded Systems, Digital Marketing, Networking, UI/UX Design",2,3,3,Tech Mahindra,Established,FinTech,1150457,No,Not Applicable,Pune,Medium,Medium,4,Medium
48,Female,2022,"Blockchain, Data Science, ML/AI",0,6,1,Byju's,Startup,Logistics,751335,No,Not Applicable,Bangalore,Medium,Low,3,Medium
49,Female,2023,"Digital Marketing, DevOps, C++",1,10,3,Cisco,Established,Logistics,2590086,No,Not Applicable,Hyderabad,High,Low,3,High
50,Male,2023,"ML/AI, Web Dev (Full Stack)",2,5,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Chennai,Medium,Medium,2,Medium
51,Female,2023,"Web Dev (Full Stack), Networking, Data Science",0,10,4,Infosys,Established,IT Services,2620542,Yes,MBA,Pune,High,Low,3,High
52,Male,2023,"Java, Cybersecurity, Web Dev (Full Stack)",1,4,3,TCS,Established,Consulting,624923,No,Not Applicable,Pune,Medium,Low,3,Medium
53,Male,2023,"Cloud (AWS/Azure/GCP), Blockchain, Cybersecurity, Python",2,9,1,Jio Platforms,Established,Logistics,752821,No,Not Applicable,Ahmedabad,Medium,Medium,4,Medium
54,Female,2024,"DevOps, Digital Marketing, Cloud (AWS/Azure/GCP)",0,1,0,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Jaipur,Low,Low,3,Medium
55,Male,2022,"Python, C++, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Hyderabad,Medium,Low,3,Medium
56,Male,2025,"Digital Marketing, Networking, Python, ML/AI, Cybersecurity",1,9,2,Paytm,Startup,Logistics,523897,No,Not Applicable,Delhi,High,Low,5,High
57,Female,2023,"Embedded Systems, DevOps, Data Science",2,6,3,Dream11,Startup,IT Services,437509,No,Not Applicable,Jaipur,High,Medium,3,Medium
58,Female,2025,"Cybersecurity, Java",0,7,4,Tata Motors,Established,Consulting,1957231,No,Not Applicable,Kolkata,High,Low,2,Medium
59,Female,2023,"ML/AI, Cloud (AWS/Azure/GCP), Cybersecurity",3,5,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Kolkata,Medium,Medium,3,Medium
60,Male,2025,"Data Science, DevOps",1,5,3,Flipkart,Established,E-commerce,1041866,No,Not Applicable,Chennai,High,Low,2,Medium
61,Female,2024,"Cloud (AWS/Azure/GCP), Java",0,6,1,Tata Motors,Established,E-commerce,806734,No,Not Applicable,Kolkata,Medium,Low,2,Medium
62,Male,2023,"Cloud (AWS/Azure/GCP), Cybersecurity, Java, UI/UX Design",3,8,4,Flipkart,Established,EdTech,1213067,Yes,AI/ML,Bangalore,High,Medium,4,Medium
63,Male,2022,"Embedded Systems, DevOps",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai,Medium,Low,2,Medium
64,Female,2022,"DevOps, Digital Marketing, Cybersecurity",2,8,1,Amazon,Established,Logistics,1489439,Yes,AI/ML,Kolkata,Medium,Medium,3,Medium
65,Female,2025,"Cloud (AWS/Azure/GCP), Digital Marketing, UI/UX Design, ML/AI",2,3,4,Microsoft,Established,E-commerce,1476901,No,Not Applicable,Bangalore,Medium,Medium,4,Medium
66,Male,2023,"Networking, Blockchain, Cloud (AWS/Azure/GCP)",2,7,2,Cognizant,Established,Consulting,2216160,No,Not Applicable,Jaipur,High,Medium,3,Medium
67,Female,2024,"Cloud (AWS/Azure/GCP), Networking",1,7,1,Oracle,Established,Healthcare,2192661,Yes,Data Science,Bangalore,Medium,Low,2,Medium
68,Female,2025,"Python, C++, Networking, Cybersecurity, Cloud (AWS/Azure/GCP)",2,6,2,Google,Established,FinTech,2668846,No,Not Applicable,Bangalore,High,Medium,5,Medium
69,Male,2025,"DevOps, Python, Embedded Systems",2,7,2,Amazon,Established,Manufacturing,1356839,No,Not Applicable,Pune,High,Medium,3,Medium
70,Male,2022,"Embedded Systems, Cybersecurity, Cloud (AWS/Azure/GCP), ML/AI",2,5,3,Cognizant,Established,Automotive,1306807,No,Not Applicable,Ahmedabad,High,Medium,4,Medium
71,Male,2022,C++,2,10,4,Google,Established,Logistics,497689,No,Not Applicable,Chennai,High,Medium,1,Low
72,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, Cybersecurity",0,5,1,Tech Mahindra,Established,FinTech,1780913,No,Not Applicable,Kolkata,Medium,Low,3,Medium
73,Female,2024,"Java, Data Science",1,2,3,Swiggy,Startup,Automotive,1207104,No,Not Applicable,Delhi,Medium,Low,2,Medium
74,Female,2023,"Cybersecurity, ML/AI",0,10,4,Wipro,Established,Consulting,843114,No,Not Applicable,Pune,High,Low,2,Medium
75,Female,2025,"Data Science, Cloud (AWS/Azure/GCP), Java, Embedded Systems",2,8,2,L&T Technology Services,Established,FinTech,1318890,No,Not Applicable,Pune,High,Medium,4,Medium
76,Male,2022,"Java, Python",1,1,2,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Delhi,Medium,Low,2,Medium
77,Male,2025,"C++, DevOps, Blockchain",0,4,2,Tata Motors,Established,Consulting,789769,No,Not Applicable,Mumbai,Medium,Low,3,Medium
78,Male,2023,"ML/AI, DevOps, Cybersecurity, Networking",0,2,3,Tata Motors,Established,EdTech,2249068,No,Not Applicable,Jaipur,Medium,Low,4,Medium
79,Male,2024,"Networking, Blockchain, Digital Marketing",1,6,3,Jio Platforms,Established,EdTech,1678422,No,Not Applicable,Delhi,High,Low,3,High
80,Male,2022,"Networking, Cloud (AWS/Azure/GCP)",2,7,1,Capgemini,Established,EdTech,1626921,No,Not Applicable,Chennai,Medium,Medium,2,Medium
81,Female,2024,"UI/UX Design, Cloud (AWS/Azure/GCP), Python",0,5,1,Zomato,Startup,Manufacturing,1265483,No,Not Applicable,Ahmedabad,Medium,Low,3,Medium
82,Male,2025,"Networking, Embedded Systems, Web Dev (Full Stack), UI/UX Design",3,6,2,Cisco,Established,FinTech,1573452,No,Not Applicable,Hyderabad,High,Medium,4,Medium
83,Male,2022,"Data Science, Digital Marketing, Blockchain, UI/UX Design, Java",2,2,4,Oracle,Established,E-commerce,1820327,Yes,PhD,Hyderabad,Medium,Medium,5,Medium
84,Female,2022,"Java, DevOps, UI/UX Design, Embedded Systems",2,7,4,Cognizant,Established,Healthcare,659348,No,Not Applicable,Kolkata,High,Medium,4,Medium
85,Female,2022,"Cloud (AWS/Azure/GCP), Web Dev (Full Stack), C++",0,6,3,HCLTech,Established,IT Services,1343129,No,Not Applicable,Bangalore,High,Low,3,High
86,Female,2023,DevOps,1,8,3,Swiggy,Startup,FinTech,603702,No,Not Applicable,Bangalore,High,Low,1,Low
87,Female,2022,"Web Dev (Full Stack), Digital Marketing, C++, Cloud (AWS/Azure/GCP)",2,6,3,HCLTech,Established,E-commerce,2188555,Yes,MS (USA/EU),Jaipur,High,Medium,4,Medium
88,Male,2023,"Networking, DevOps",1,8,4,Infosys,Established,Healthcare,1881013,Yes,Cybersecurity,Kolkata,High,Low,2,Medium
89,Female,2024,"DevOps, Embedded Systems, Data Science, Python",0,9,2,Cisco,Established,Consulting,1974476,No,Not Applicable,Mumbai,High,Low,4,High
90,Female,2024,"Web Dev (Full Stack), DevOps",2,4,1,Not Placed,Not Placed,Not Placed,0,Yes,PhD,Mumbai,Medium,Medium,2,Medium
91,Female,2022,"Web Dev (Full Stack), Python",1,7,4,L&T Technology Services,Established,Manufacturing,516985,No,Not Applicable,Mumbai,High,Low,2,Medium
92,Female,2022,"Digital Marketing, Java, UI/UX Design, ML/AI, Embedded Systems",0,5,0,Capgemini,Established,Automotive,1295503,No,Not Applicable,Kolkata,Medium,Low,5,Medium
93,Male,2022,"DevOps, UI/UX Design",0,7,4,Oracle,Established,EdTech,1686143,No,Not Applicable,Kolkata,High,Low,2,Medium
94,Male,2022,"UI/UX Design, Embedded Systems, Data Science",1,5,3,Tata Motors,Established,Consulting,950700,No,Not Applicable,Delhi,High,Low,3,High
95,Female,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",1,9,4,Wipro,Established,Automotive,817154,No,Not Applicable,Hyderabad,High,Low,3,High
96,Female,2024,"Cloud (AWS/Azure/GCP), ML/AI, UI/UX Design",0,10,4,Amazon,Established,Logistics,1218837,No,Not Applicable,Kolkata,High,Low,3,High
97,Male,2024,"Java, Web Dev (Full Stack)",2,8,1,Tech Mahindra,Established,Manufacturing,1219839,No,Not Applicable,Delhi,Medium,Medium,2,Medium
98,Male,2023,"C++, Cloud (AWS/Azure/GCP), Java, Web Dev (Full Stack)",0,3,1,HCLTech,Established,FinTech,1798269,No,Not Applicable,Chennai,Medium,Low,4,Medium
99,Female,2024,"Digital Marketing, UI/UX Design",0,8,3,Dream11,Startup,E-commerce,827804,No,Not Applicable,Ahmedabad,High,Low,2,Medium
100,Female,2025,"UI/UX Design, Networking, Cybersecurity",2,2,0,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Hyderabad,Low,Medium,3,Medium
101,Male,2023,"UI/UX Design, Blockchain, Python, Data Science",0,3,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad,Medium,Low,4,Medium
102,Female,2022,"Digital Marketing, C++",0,7,4,Tata Motors,Established,Automotive,929377,No,Not Applicable,Hyderabad,High,Low,2,Medium
103,Male,2025,Digital Marketing,2,3,0,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Jaipur,Medium,Medium,1,Low
104,Male,2023,"UI/UX Design, Cloud (AWS/Azure/GCP), Embedded Systems",0,7,4,Capgemini,Established,FinTech,1168262,No,Not Applicable,Jaipur,High,Low,3,High
105,Male,2024,"Blockchain, Networking, Cloud (AWS/Azure/GCP), Java",1,4,2,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Mumbai,Medium,Low,4,Medium
106,Female,2024,"UI/UX Design, Python, Data Science, Cybersecurity",2,4,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Ahmedabad,Medium,Medium,4,Medium
107,Female,2023,"Java, DevOps, Embedded Systems, UI/UX Design, Web Dev (Full Stack)",1,9,4,Capgemini,Established,IT Services,1217891,No,Not Applicable,Mumbai,High,Low,5,High
108,Male,2025,"Blockchain, Data Science, Cybersecurity, Cloud (AWS/Azure/GCP), Web Dev (Full Stack)",2,9,4,Google,Established,Logistics,1618082,No,Not Applicable,Chennai,High,Medium,5,Medium
109,Female,2022,"Cloud (AWS/Azure/GCP), Networking",2,10,3,Tata Motors,Established,EdTech,1304859,No,Not Applicable,Mumbai,High,Medium,2,Medium
110,Female,2025,"Digital Marketing, C++, ML/AI, UI/UX Design",2,5,3,HCLTech,Established,Logistics,2836184,No,Not Applicable,Pune,High,Medium,4,Medium
111,Female,2024,"Web Dev (Full Stack), C++, Cybersecurity, Java",1,4,4,TCS,Established,Logistics,1764920,No,Not Applicable,Bangalore,Medium,Low,4,Medium
112,Female,2023,"UI/UX Design, DevOps",1,10,4,Infosys,Established,Manufacturing,1812239,No,Not Applicable,Jaipur,High,Low,2,Medium
113,Male,2024,"DevOps, Data Science, Digital Marketing",1,6,1,Wipro,Established,Automotive,1304658,No,Not Applicable,Chennai,Medium,Low,3,Medium
114,Male,2024,Embedded Systems,0,7,2,Adobe,Established,Automotive,1502053,No,Not Applicable,Ahmedabad,High,Low,1,Low
115,Female,2022,"Cybersecurity, ML/AI, Python",0,6,2,Meta,Established,FinTech,1572380,No,Not Applicable,Jaipur,High,Low,3,High
116,Male,2023,"Python, ML/AI, Blockchain",1,4,0,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Kolkata,Medium,Low,3,Medium
117,Female,2022,"Data Science, Digital Marketing, DevOps",0,4,1,Adobe,Established,Logistics,1989318,No,Not Applicable,Hyderabad,Medium,Low,3,Medium
118,Male,2025,"Digital Marketing, Embedded Systems, DevOps",2,8,4,Ola,Startup,Logistics,750216,Yes,AI/ML,Bangalore,High,Medium,3,Medium
119,Male,2022,"C++, Python, DevOps, Cybersecurity",1,5,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Ahmedabad,High,Low,4,High
120,Female,2023,"ML/AI, C++",0,6,3,Dream11,Startup,Healthcare,354005,No,Not Applicable,Bangalore,High,Low,2,Medium
121,Female,2025,"Digital Marketing, Java, Data Science",0,5,2,Not Placed,Not Placed,Not Placed,0,Yes,M.Tech,Chennai,High,Low,3,High
122,Female,2023,"DevOps, Web Dev (Full Stack)",2,10,3,HCLTech,Established,Manufacturing,603758,No,Not Applicable,Delhi,High,Medium,2,Medium
123,Female,2024,"Cloud (AWS/Azure/GCP), Digital Marketing",3,10,4,Swiggy,Startup,E-commerce,757466,No,Not Applicable,Bangalore,High,Medium,2,Medium
124,Female,2025,"Embedded Systems, Cloud (AWS/Azure/GCP)",0,7,4,Jio Platforms,Established,Manufacturing,1419144,No,Not Applicable,Jaipur,High,Low,2,Medium
125,Female,2024,"ML/AI, C++",0,8,4,Cisco,Established,FinTech,1844263,No,Not Applicable,Pune,High,Low,2,Medium
126,Female,2024,ML/AI,2,5,4,Ola,Startup,Consulting,791896,No,Not Applicable,Pune,High,Medium,1,Low
127,Male,2022,"Blockchain, ML/AI, Networking, DevOps",1,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Chennai,Low,Low,4,Medium
128,Female,2025,Web Dev (Full Stack),0,9,2,Capgemini,Established,E-commerce,1542123,No,Not Applicable,Bangalore,High,Low,1,Low
129,Male,2023,"C++, Embedded Systems, Blockchain",1,5,1,Paytm,Startup,Manufacturing,1013689,No,Not Applicable,Ahmedabad,Medium,Low,3,Medium
130,Male,2023,"Networking, Data Science, UI/UX Design, Embedded Systems, DevOps",1,3,4,Tech Mahindra,Established,FinTech,1111540,No,Not Applicable,Bangalore,Medium,Low,5,Medium
131,Male,2024,"Data Science, UI/UX Design, Blockchain, Python, Web Dev (Full Stack)",2,9,3,Dr. Reddy's Labs,Established,Automotive,1771080,No,Not Applicable,Chennai,High,Medium,5,Medium
132,Male,2024,DevOps,1,1,1,Not Placed,Not Placed,Not Placed,0,Yes,Cybersecurity,Ahmedabad,Medium,Low,1,Low
133,Female,2025,"Java, Cybersecurity, Digital Marketing, DevOps, C++",0,8,3,HCLTech,Established,Consulting,2094490,No,Not Applicable,Jaipur,High,Low,5,High
134,Female,2025,C++,1,3,0,TCS,Established,Manufacturing,1646303,No,Not Applicable,Pune,Medium,Low,1,Low
135,Female,2025,"Data Science, Cybersecurity",0,8,3,Tata Motors,Established,Healthcare,385264,No,Not Applicable,Bangalore,High,Low,2,Medium
136,Female,2024,"ML/AI, Cybersecurity, Java, Blockchain, DevOps",1,3,2,Dream11,Startup,Healthcare,983738,No,Not Applicable,Ahmedabad,Medium,Low,5,Medium
137,Male,2024,"Cloud (AWS/Azure/GCP), DevOps",0,8,4,Oracle,Established,Consulting,865883,No,Not Applicable,Ahmedabad,High,Low,2,Medium
138,Female,2022,"Digital Marketing, Cloud (AWS/Azure/GCP), Data Science, UI/UX Design, C++",0,2,3,Adobe,Established,IT Services,1910241,No,Not Applicable,Mumbai,Medium,Low,5,Medium
139,Female,2025,"C++, Networking, Web Dev (Full Stack)",1,8,3,Dr. Reddy's Labs,Established,FinTech,1383486,No,Not Applicable,Pune,High,Low,3,High
140,Male,2024,"Java, UI/UX Design",0,5,2,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Chennai,High,Low,2,Medium
141,Female,2022,UI/UX Design,2,2,0,Not Placed,Not Placed,Not Placed,0,Yes,Data Science,Chennai,Low,Medium,1,Low
142,Female,2025,"Data Science, ML/AI, Blockchain, Digital Marketing",0,4,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Mumbai,Medium,Low,4,Medium
143,Female,2025,"Networking, Digital Marketing",1,6,3,Tech Mahindra,Established,Consulting,753342,No,Not Applicable,Hyderabad,High,Low,2,Medium
144,Female,2022,Blockchain,1,5,2,Flipkart,Established,Automotive,1643075,No,Not Applicable,Jaipur,High,Low,1,Low
145,Female,2024,"Python, Cybersecurity, Web Dev (Full Stack)",1,6,3,Swiggy,Startup,Healthcare,933272,No,Not Applicable,Bangalore,High,Low,3,High
146,Female,2024,"Networking, Cybersecurity, ML/AI, Python, C++",3,5,3,Amazon,Established,Consulting,2290068,No,Not Applicable,Jaipur,High,Medium,5,Medium
147,Male,2025,"Cloud (AWS/Azure/GCP), Networking, C++",1,6,3,Tata Motors,Established,EdTech,1729008,No,Not Applicable,Chennai,High,Low,3,High
148,Male,2023,"Digital Marketing, Blockchain, Cloud (AWS/Azure/GCP), C++",2,7,2,Dr. Reddy's Labs,Established,Healthcare,1294688,Yes,AI/ML,Kolkata,High,Medium,4,Medium
149,Male,2022,"Data Science, Java, Blockchain, Embedded Systems, ML/AI",1,10,4,Dream11,Startup,Consulting,767778,No,Not Applicable,Mumbai,High,Low,5,High
150,Female,2024,"Embedded Systems, DevOps, Cybersecurity, Blockchain, Cloud (AWS/Azure/GCP)",3,2,0,Not Placed,Not Placed,Not Placed,0,Yes,AI/ML,Kolkata,Low,Medium,5,Medium
151,Male,2022,"Python, Cybersecurity, Blockchain",2,1,2,Not Placed,Not Placed,Not Placed,0,No,Not Applicable,Pune,Medium,Medium,3,Medium
152,Female,2024,"Java, Cloud (AWS/Azure/GCP)",0,9,2,Flipkart,Established,E-commerce,1317349,No,Not Applicable,Delhi,High,Low,2,Medium
153,Male,2022,"DevOps, Networking, Java, Cybersecurity",0,8,3,Dr. Reddy's Labs,Established,Manufacturing,1920845,No,Not Applicable,Bangalore,High,Low,4,High
154,Male,2023,"Cloud (AWS/Azure/GCP), Python, Embedded Systems",1,5,3,Jio Platforms,Established,EdTech,1672513,No,Not Applicable,Hyderabad,High,Low,3,High
155,Female,2024,"Java, Cybersecurity, Blockchain",0,4,3,Cisco,Established,EdTech,1603307,No,Not Applicable,Kolkata,Medium,Low,3,Medium
156,Male,2022,"C++, Web Dev (Full Stack)",2,6,3,Dream11,Startup,Automotive,1292948,Yes,M.Tech,Jaipur,High,Medium,2,Medium
157,Male,2025,"Embedded Systems, C++, Networking, Cybersecurity",1,4,3,Dream11,Startup,IT Services,1088363,No,Not Applicable,Ahmedabad,Medium,Low,4,Medium
158,Male,2024,"Blockchain, Java, UI/UX Design",0,8,3,Flipkart,Established,Healthcare,961964,No,Not Applicable,Jaipur,High,Low,3,High
159,Male,2025,"UI/UX Design, ML/AI, Cybersecurity",0,4,4,Flipkart,Established,E-commerce,431146,No,Not Applicable,Kolkata,Medium,Low,3,Medium
160,Male,2023,"Python, Cloud (AWS/Azure/GCP), Blockchain, Java, DevOps",0,6,3,Oracle,Established,E-commerce,1799131,No,Not Applicable,Hyderabad,High,Low,5,High
161,Female,2025,"Blockchain, C++",1,5,3,Meta,Established,Manufacturing,2065125,No,Not Applicable,Ahmedabad,High,Low,2,Medium
162,Female,2022,"DevOps, ML/AI, UI/UX Design",0,8,4,HCLTech,Established,Manufacturing,1116488,No,Not Applicable,Chennai,High,Low,3,High
163,Female,2023,"Networking, Data Science, DevOps, Cloud (AWS/Azure/GCP)",1,5,3,Flipkart,Established,E-commerce,1278065,No,Not Applicable,Chennai,High,Low,4,High
164,Male,2023,"ML/AI, Data Science, Python",2,5,2,Amazon,Established,IT Services,1694873,No,Not Applicable,Hyderabad,High,Medium,3,Medium
165,Female,2022,Networking,3,10,3,Dr. Reddy's Labs,Established,Logistics,1295550,No,Not Applicable,Kolkata,High,Medium,1,Low
166,Male,2023,"UI/UX Design, Java",1,5,4,Cognizant,Established,Logistics,2015372,No,Not Applicable,Pune,High,Low,2,Medium
167,Female,2024,"Python, Blockchain, Cybersecurity, Web Dev (Full Stack), Java",2,9,1,Dr. Reddy's Labs,Established,FinTech,1258252,No,Not Applicable,Jaipur,Medium,Medium,5,Medium
168,Male,2024,"Web Dev (Full Stack), Cloud (AWS/Azure/GCP), Embedded Systems, Data Science",0,5,4,Amazon,Established,E-commerce,2145561,No,Not Applicable,Bangalore,High,Low,4,High
169,Female,2023,"Networking, DevOps",2,8,4,Cisco,Established,Consulting,2010862,No,Not Applicable,Delhi,High,Medium,2,Medium
